dataset,label_source,model,roc_auc_mean,roc_auc_std,average_precision_mean,accuracy_mean,f1_mean
MGSM,provided_numeric_ground_truth,monolingual_self_consistency,0.647,0.0572,0.5626,0.6289,0.6912
MGSM,provided_numeric_ground_truth,cross_lingual_answer_agreement,0.8392,0.0398,0.7839,0.7556,0.7613
MGSM,provided_numeric_ground_truth,increment_answer_plus_semantic,0.8563,0.0283,0.8406,0.7689,0.754
MGSM,provided_numeric_ground_truth,increment_answer_plus_semantic_plus_nli,0.8534,0.032,0.83,0.7956,0.7806
XQUAD,automatic_text_scoring,language_only_control,0.7866,0.0244,0.8696,0.629,0.6379
XQUAD,automatic_text_scoring,increment_answer_only,0.8856,0.0387,0.9353,0.7992,0.8422
XQUAD,automatic_text_scoring,increment_answer_plus_semantic,0.9015,0.0332,0.9533,0.8015,0.8451
XQUAD,automatic_text_scoring,increment_answer_plus_semantic_plus_nli,0.8845,0.0353,0.9441,0.8128,0.8569
MKQA,automatic_text_scoring,language_only_control,0.6641,0.0638,0.5473,0.6179,0.5795
MKQA,automatic_text_scoring,increment_answer_only,0.7031,0.0611,0.6241,0.659,0.6267
MKQA,automatic_text_scoring,increment_answer_plus_semantic,0.6988,0.0373,0.6084,0.6205,0.5899
MKQA,automatic_text_scoring,increment_answer_plus_semantic_plus_nli,0.7168,0.045,0.6116,0.6692,0.6287
