dataset,label_source,cv_strategy,model,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,features
MGSM,provided_numeric_ground_truth,5-fold stratified group CV by question_id,increment_answer_plus_semantic,0.8563,0.0283,0.8406,0.0599,0.7689,0.0347,0.763,0.0881,0.7656,0.1055,0.754,0.0464,"is_en, is_zh, is_es, self_consistency_number, n_unique_number_answers, number_cross_lingual_agreement_ratio, number_cross_lingual_num_unique_answers, number_en_zh_answer_match, number_en_es_answer_match, number_zh_es_answer_match, current_number_matches_cross_lingual_majority, current_number_matches_en, current_number_matches_zh, current_number_matches_es, semantic_cross_lingual_mean_pairwise, semantic_current_to_others_mean, semantic_sim_en_zh, semantic_sim_en_es, semantic_sim_zh_es, semantic_sim_current_to_en, semantic_sim_current_to_zh, semantic_sim_current_to_es"
MGSM,provided_numeric_ground_truth,5-fold stratified group CV by question_id,increment_answer_plus_semantic_plus_nli,0.8534,0.032,0.83,0.0703,0.7956,0.0376,0.7883,0.0762,0.7859,0.0886,0.7806,0.0475,"is_en, is_zh, is_es, self_consistency_number, n_unique_number_answers, number_cross_lingual_agreement_ratio, number_cross_lingual_num_unique_answers, number_en_zh_answer_match, number_en_es_answer_match, number_zh_es_answer_match, current_number_matches_cross_lingual_majority, current_number_matches_en, current_number_matches_zh, current_number_matches_es, semantic_cross_lingual_mean_pairwise, semantic_current_to_others_mean, semantic_sim_en_zh, semantic_sim_en_es, semantic_sim_zh_es, semantic_sim_current_to_en, semantic_sim_current_to_zh, semantic_sim_current_to_es, nli_cross_lingual_mean_entailment, nli_cross_lingual_max_contradiction, nli_current_to_others_mean_entailment, nli_current_to_others_max_contradiction, nli_en_zh_bidirectional_entailment, nli_en_zh_max_contradiction, nli_en_es_bidirectional_entailment, nli_en_es_max_contradiction, nli_zh_es_bidirectional_entailment, nli_zh_es_max_contradiction, nli_current_to_en_bidirectional_entailment, nli_current_to_en_max_contradiction, nli_current_to_zh_bidirectional_entailment, nli_current_to_zh_max_contradiction, nli_current_to_es_bidirectional_entailment, nli_current_to_es_max_contradiction"
MGSM,provided_numeric_ground_truth,5-fold stratified group CV by question_id,self_plus_cross_lingual,0.8522,0.0404,0.8153,0.0934,0.7667,0.0487,0.744,0.1044,0.7882,0.0345,0.7602,0.0514,"self_consistency_number, n_unique_number_answers, number_cross_lingual_agreement_ratio, number_cross_lingual_num_unique_answers, current_number_matches_cross_lingual_majority"
MGSM,provided_numeric_ground_truth,5-fold stratified group CV by question_id,all_answer_level_features,0.847,0.0369,0.8238,0.0903,0.76,0.0442,0.745,0.1049,0.7703,0.06,0.7501,0.0482,"is_en, is_zh, is_es, self_consistency_number, n_unique_number_answers, number_cross_lingual_agreement_ratio, number_cross_lingual_num_unique_answers, number_en_zh_answer_match, number_en_es_answer_match, number_zh_es_answer_match, current_number_matches_cross_lingual_majority, current_number_matches_en, current_number_matches_zh, current_number_matches_es"
MGSM,provided_numeric_ground_truth,5-fold stratified group CV by question_id,increment_answer_only,0.847,0.0369,0.8238,0.0903,0.76,0.0442,0.745,0.1049,0.7703,0.06,0.7501,0.0482,"is_en, is_zh, is_es, self_consistency_number, n_unique_number_answers, number_cross_lingual_agreement_ratio, number_cross_lingual_num_unique_answers, number_en_zh_answer_match, number_en_es_answer_match, number_zh_es_answer_match, current_number_matches_cross_lingual_majority, current_number_matches_en, current_number_matches_zh, current_number_matches_es"
MGSM,provided_numeric_ground_truth,5-fold stratified group CV by question_id,cross_lingual_answer_agreement,0.8392,0.0398,0.7839,0.0893,0.7556,0.0482,0.7148,0.0955,0.8273,0.0327,0.7613,0.0433,"number_cross_lingual_agreement_ratio, number_cross_lingual_num_unique_answers, current_number_matches_cross_lingual_majority"
MGSM,provided_numeric_ground_truth,5-fold stratified group CV by question_id,pairwise_language_agreement,0.8356,0.0322,0.793,0.0854,0.7511,0.0448,0.7513,0.1184,0.7563,0.0875,0.7404,0.0368,"number_en_zh_answer_match, number_en_es_answer_match, number_zh_es_answer_match, current_number_matches_en, current_number_matches_zh, current_number_matches_es"
MGSM,provided_numeric_ground_truth,5-fold stratified group CV by question_id,monolingual_self_consistency,0.647,0.0572,0.5626,0.0788,0.6289,0.0746,0.5723,0.0818,0.8819,0.0302,0.6912,0.0636,"self_consistency_number, n_unique_number_answers"
MGSM,provided_numeric_ground_truth,5-fold stratified group CV by question_id,language_only_control,0.5628,0.02,0.5102,0.0443,0.5378,0.0089,0.5067,0.049,0.5743,0.1791,0.5241,0.0926,"is_en, is_zh, is_es"
MGSM,provided_numeric_ground_truth,5-fold stratified group CV by question_id,majority_prior_control,0.5,0.0,0.4711,0.0407,0.5289,0.0407,0.0,0.0,0.0,0.0,0.0,0.0,none
